 T,P,V
           45.0000000000    ,      -1.807107466799E+0133,      -1.399000686904E+0134
           45.5000000000    ,      -5.671236239036E+0134,      -4.390476792207E+0135
           46.0000000000    ,      -1.779801205510E+0136,      -1.377861114962E+0137
           46.5000000000    ,      -5.585541137099E+0137,      -4.324134580315E+0138
           47.0000000000    ,      -1.752907554936E+0139,      -1.357040972100E+0140
           47.5000000000    ,      -5.501140929290E+0140,      -4.258794831092E+0141
           48.0000000000    ,      -1.726420280333E+0142,      -1.336535431591E+0143
           48.5000000000    ,      -5.418016049134E+0143,      -4.194442396844E+0144
           49.0000000000    ,      -1.700333241163E+0145,      -1.316339739643E+0146
           49.5000000000    ,      -5.336147225821E+0146,      -4.131062358769E+0147
           50.0000000000    ,      -1.674640389678E+0148,      -1.296449214294E+0149
